% Linearization Verification  Step 1/51
% Vcmd_ref    = -2.5000 [V]
% Vc_applied  = 0.5000  [V]
% omega_target= -23.2075  [rad/s]
% omega_meas  = 0.0000  [rad/s]  (last-2s avg)
% error       = 23.2075  [rad/s]
% Vg_offset   = 0.000000  [V]
% K_gimbal    = 26.049690  [(rad/s)/V]

Time[s]              Vcmd_ref[V]          Vc[V]                Vg_raw[V]            Pot[V]               Omega[rad/s]
        1.0900026000        -2.5000000000         0.4999964383         0.0000000000         0.0000000000         0.0000000000
        1.0950025000        -2.5000000000         0.4999964383         0.0000000000         0.0000000000         0.0000000000
        1.1000036000        -2.5000000000         0.4999964383         0.0000000000         0.0000000000         0.0000000000
        1.1050028000        -2.5000000000         0.4999964383         0.0000000000         0.0000000000         0.0000000000
        1.1100016000        -2.5000000000         0.4999964383         0.0000000000         0.0000000000         0.0000000000
        1.1150042000        -2.5000000000         0.4999964383         0.0000000000         0.0000000000         0.0000000000
        1.1200046000        -2.5000000000         0.4999964383         0.0000000000         0.0000000000         0.0000000000
        1.1250029000        -2.5000000000         0.4999964383         0.0000000000         0.0000000000         0.0000000000
        1.1300026000        -2.5000000000         0.4999964383         0.0000000000         0.0000000000         0.0000000000
        1.1350184000        -2.5000000000         0.4999964383         0.0000000000         0.0000000000         0.0000000000
        1.1400033000        -2.5000000000         0.4999964383         0.0000000000         0.0000000000         0.0000000000
        1.1450040000        -2.5000000000         0.4999964383         0.0000000000         0.0000000000         0.0000000000
        1.1500028000        -2.5000000000         0.4999964383         0.0000000000         0.0000000000         0.0000000000
        1.1550027000        -2.5000000000         0.4999964383         0.0000000000         0.0000000000         0.0000000000
        1.1600033000        -2.5000000000         0.4999964383         0.0000000000         0.0000000000         0.0000000000
        1.1650027000        -2.5000000000         0.4999964383         0.0000000000         0.0000000000         0.0000000000
        1.1700032000        -2.5000000000         0.4999964383         0.0000000000         0.0000000000         0.0000000000
        1.1750026000        -2.5000000000         0.4999964383         0.0000000000         0.0000000000         0.0000000000
        1.1800028000        -2.5000000000         0.4999964383         0.0000000000         0.0000000000         0.0000000000
        1.1850029000        -2.5000000000         0.4999964383         0.0000000000         0.0000000000         0.0000000000
        1.1900018000        -2.5000000000         0.4999964383         0.0000000000         0.0000000000         0.0000000000
